start_distance	driveCount	meanPPD
3	16	5.875
7	14	5.285714285714286
9	14	5.071428571428571
10	11	5.0
11	15	5.0
12	11	6.0
13	16	4.6875
14	16	4.375
15	13	5.230769230769231
17	10	5.2
18	17	4.0
19	14	3.5714285714285716
20	13	4.6923076923076925
21	19	5.2631578947368425
22	20	3.8
23	26	4.576923076923077
24	13	2.923076923076923
25	74	4.216216216216216
26	18	4.611111111111111
27	29	4.586206896551724
28	24	3.9583333333333335
29	16	4.0
30	21	5.380952380952381
31	25	4.2
32	33	3.5757575757575757
33	30	3.1
34	40	4.3
35	45	4.866666666666666
36	39	3.3333333333333335
37	29	3.103448275862069
38	31	3.161290322580645
39	34	3.2058823529411766
40	46	3.652173913043478
41	36	3.361111111111111
42	46	4.0
43	56	3.5357142857142856
44	56	4.071428571428571
45	54	2.462962962962963
46	66	3.409090909090909
47	64	3.46875
48	55	3.0
49	64	2.390625
50	80	2.3
51	70	2.842857142857143
52	62	3.5161290322580645
53	73	2.6986301369863015
54	94	2.372340425531915
55	113	3.0442477876106193
56	89	2.7865168539325844
57	103	2.3009708737864076
58	117	3.358974358974359
59	100	2.69
60	149	2.3288590604026846
61	118	2.516949152542373
62	144	2.7291666666666665
63	152	2.1447368421052633
64	143	2.7062937062937062
65	304	2.736842105263158
66	145	2.3517241379310345
67	172	2.558139534883721
68	192	2.2604166666666665
69	174	2.7528735632183907
70	284	2.084507042253521
71	213	2.2253521126760565
72	218	1.8211009174311927
73	226	1.9380530973451326
74	248	2.3911290322580645
75	3216	1.8364427860696517
76	234	1.8076923076923077
77	225	1.8755555555555556
78	259	1.613899613899614
79	238	1.815126050420168
80	743	1.8344549125168237
81	168	2.2083333333333335
82	185	1.6702702702702703
83	175	1.3314285714285714
84	163	1.4539877300613497
85	222	1.5810810810810811
86	133	1.9323308270676691
87	133	1.7293233082706767
88	146	1.7397260273972603
89	149	1.3020134228187918
90	166	1.3614457831325302
91	101	0.6732673267326733
92	131	1.2595419847328244
93	87	0.9080459770114943
94	86	1.186046511627907
95	76	1.394736842105263
96	75	0.92
97	76	0.5263157894736842
98	74	1.1486486486486487
99	85	0.8941176470588236
