team	AP
Air Force	NR
Akron	NR
Alabama	NR
Appalachian State	NR
Arizona	NR
Arizona State	NR
Arkansas	NR
Arkansas State	NR
Army	NR
Auburn	NR
BYU	NR
Ball State	NR
Baylor	NR
Boise State	NR
Boston College	NR
Bowling Green	NR
Buffalo	NR
California	NR
Central Michigan	NR
Charlotte	NR
Cincinnati	NR
Clemson	NR
Coastal Carolina	NR
Colorado	NR
Colorado State	NR
Connecticut	NR
Duke	NR
East Carolina	NR
Eastern Michigan	NR
Florida	NR
Florida Atlantic	NR
Florida International	NR
Florida State	NR
Fresno State	NR
Georgia	NR
Georgia Southern	NR
Georgia State	NR
Georgia Tech	NR
Hawai'i	NR
Houston	NR
Illinois	NR
Indiana	NR
Iowa	NR
Iowa State	NR
Kansas	NR
Kansas State	NR
Kent State	NR
Kentucky	NR
LSU	NR
Liberty	NR
Louisiana	NR
Louisiana Monroe	NR
Louisiana Tech	NR
Louisville	NR
Marshall	NR
Maryland	NR
Memphis	NR
Miami	NR
Miami (OH)	NR
Michigan	NR
Michigan State	NR
Middle Tennessee	NR
Minnesota	NR
Mississippi State	NR
Missouri	NR
NC State	NR
Navy	NR
Nebraska	NR
Nevada	NR
New Mexico	NR
North Carolina	NR
North Texas	NR
Northern Illinois	NR
Northwestern	NR
Notre Dame	NR
Ohio	NR
Ohio State	NR
Oklahoma	NR
Oklahoma State	NR
Old Dominion	NR
Ole Miss	NR
Oregon	NR
Oregon State	NR
Penn State	NR
Pittsburgh	NR
Purdue	NR
Rice	NR
Rutgers	NR
SMU	NR
San Diego State	NR
San José State	NR
South Alabama	NR
South Carolina	NR
South Florida	NR
Southern Mississippi	NR
Stanford	NR
Syracuse	NR
TCU	NR
Temple	NR
Tennessee	NR
Texas	NR
Texas A&M	NR
Texas State	NR
Texas Tech	NR
Toledo	NR
Troy	NR
Tulane	NR
Tulsa	NR
UAB	NR
UCF	NR
UCLA	NR
UMass	NR
UNLV	NR
USC	NR
UT San Antonio	NR
UTEP	NR
Utah	NR
Utah State	NR
Vanderbilt	NR
Virginia	NR
Virginia Tech	NR
Wake Forest	NR
Washington	NR
Washington State	NR
West Virginia	NR
Western Kentucky	NR
Western Michigan	NR
Wisconsin	NR
Wyoming	NR
